instance,tree_file,inference_time_seconds
G_l_512_n_100_0_0.01_33.phy,G_l_512_n_100_0_0.01_33.tre,170.763603
G_l_512_n_100_0_0.01_34.phy,G_l_512_n_100_0_0.01_34.tre,192.647602
G_l_512_n_100_0_0.01_35.phy,G_l_512_n_100_0_0.01_35.tre,232.253164
G_l_512_n_100_0_0.01_42.phy,G_l_512_n_100_0_0.01_42.tre,192.868215
G_l_512_n_100_0_0.01_45.phy,G_l_512_n_100_0_0.01_45.tre,172.275723
G_l_512_n_100_0_0.01_52.phy,G_l_512_n_100_0_0.01_52.tre,203.003037
G_l_512_n_100_0_0.01_57.phy,G_l_512_n_100_0_0.01_57.tre,204.287760
G_l_512_n_100_0_0.01_58.phy,G_l_512_n_100_0_0.01_58.tre,192.038367
G_l_512_n_100_0_0.01_60.phy,G_l_512_n_100_0_0.01_60.tre,203.552754
G_l_512_n_100_0_0.01_73.phy,G_l_512_n_100_0_0.01_73.tre,250.546019
G_l_512_n_100_0_0.01_8.phy,G_l_512_n_100_0_0.01_8.tre,193.119003
G_l_512_n_100_0_0.01_95.phy,G_l_512_n_100_0_0.01_95.tre,174.773105
G_l_512_n_100_0_0.02_105.phy,G_l_512_n_100_0_0.02_105.tre,180.172360
G_l_512_n_100_0_0.02_107.phy,G_l_512_n_100_0_0.02_107.tre,203.819081
G_l_512_n_100_0_0.02_109.phy,G_l_512_n_100_0_0.02_109.tre,169.067095
G_l_512_n_100_0_0.02_120.phy,G_l_512_n_100_0_0.02_120.tre,180.201926
G_l_512_n_100_0_0.02_15.phy,G_l_512_n_100_0_0.02_15.tre,174.708909
G_l_512_n_100_0_0.02_22.phy,G_l_512_n_100_0_0.02_22.tre,217.480657
G_l_512_n_100_0_0.02_27.phy,G_l_512_n_100_0_0.02_27.tre,195.400675
G_l_512_n_100_0_0.02_29.phy,G_l_512_n_100_0_0.02_29.tre,203.080432
G_l_512_n_100_0_0.02_37.phy,G_l_512_n_100_0_0.02_37.tre,183.534821
G_l_512_n_100_0_0.02_46.phy,G_l_512_n_100_0_0.02_46.tre,182.405368
G_l_512_n_100_0_0.02_48.phy,G_l_512_n_100_0_0.02_48.tre,182.920177
G_l_512_n_100_0_0.02_51.phy,G_l_512_n_100_0_0.02_51.tre,188.688595
G_l_512_n_100_0_0.02_53.phy,G_l_512_n_100_0_0.02_53.tre,184.356208
G_l_512_n_100_0_0.02_54.phy,G_l_512_n_100_0_0.02_54.tre,191.836073
G_l_512_n_100_0_0.02_55.phy,G_l_512_n_100_0_0.02_55.tre,181.907356
G_l_512_n_100_0_0.02_66.phy,G_l_512_n_100_0_0.02_66.tre,189.983525
G_l_512_n_100_0_0.02_68.phy,G_l_512_n_100_0_0.02_68.tre,260.451582
G_l_512_n_100_0_0.02_72.phy,G_l_512_n_100_0_0.02_72.tre,169.638392
G_l_512_n_100_0_0.02_76.phy,G_l_512_n_100_0_0.02_76.tre,197.490233
