instance,tree_file,inference_time_seconds
6422.aln,6422.tre,0.875418
6425.aln,6425.tre,0.543410
6427.aln,6427.tre,0.295002
6430.aln,6430.tre,0.934510
6431.aln,6431.tre,1.463571
6433.aln,6433.tre,0.608609
6434.aln,6434.tre,0.457954
6436.aln,6436.tre,0.371571
6437.aln,6437.tre,1.075124
6438.aln,6438.tre,0.281247
6440.aln,6440.tre,0.466501
6442.aln,6442.tre,0.999128
6445.aln,6445.tre,0.142982
6450.aln,6450.tre,0.355777
6451.aln,6451.tre,0.533066
6458.aln,6458.tre,0.310695
6459.aln,6459.tre,0.395651
6460.aln,6460.tre,0.756287
6472.aln,6472.tre,1.127216
6476.aln,6476.tre,0.735129
6477.aln,6477.tre,0.367011
6479.aln,6479.tre,0.822027
6486.aln,6486.tre,0.528638
6490.aln,6490.tre,0.563711
6491.aln,6491.tre,0.389554
6493.aln,6493.tre,0.706617
6494.aln,6494.tre,0.924726
6495.aln,6495.tre,0.686155
6500.aln,6500.tre,0.157120
6502.aln,6502.tre,1.029435
6507.aln,6507.tre,0.771938
6510.aln,6510.tre,0.431217
6511.aln,6511.tre,0.325774
6512.aln,6512.tre,0.657299
6514.aln,6514.tre,1.007366
6515.aln,6515.tre,0.718391
6518.aln,6518.tre,0.967094
6524.aln,6524.tre,0.691321
6525.aln,6525.tre,0.914058
6526.aln,6526.tre,1.099557
6529.aln,6529.tre,0.450881
6531.aln,6531.tre,0.787253
6532.aln,6532.tre,1.041390
6533.aln,6533.tre,0.493812
6534.aln,6534.tre,1.090359
6537.aln,6537.tre,0.529587
6539.aln,6539.tre,0.765886
6551.aln,6551.tre,0.327338
6552.aln,6552.tre,1.888601
6554.aln,6554.tre,0.254690
6558.aln,6558.tre,0.754378
6560.aln,6560.tre,2.478447
6563.aln,6563.tre,0.637275
6564.aln,6564.tre,0.820823
6572.aln,6572.tre,0.679991
6575.aln,6575.tre,1.086768
6576.aln,6576.tre,1.954619
6578.aln,6578.tre,0.884624
6580.aln,6580.tre,0.531975
6581.aln,6581.tre,0.428243
6586.aln,6586.tre,0.691533
6587.aln,6587.tre,0.504867
6588.aln,6588.tre,0.573492
6591.aln,6591.tre,0.203379
6592.aln,6592.tre,0.483136
6594.aln,6594.tre,0.326790
6596.aln,6596.tre,1.090248
6600.aln,6600.tre,1.067137
6602.aln,6602.tre,0.210626
6603.aln,6603.tre,0.091410
6604.aln,6604.tre,1.707001
6608.aln,6608.tre,0.418189
6609.aln,6609.tre,0.358055
6614.aln,6614.tre,0.861567
6616.aln,6616.tre,1.148702
6618.aln,6618.tre,0.699700
6619.aln,6619.tre,1.209872
6635.aln,6635.tre,0.249882
6643.aln,6643.tre,0.931347
6646.aln,6646.tre,0.745631
6647.aln,6647.tre,0.793666
6655.aln,6655.tre,0.651492
6659.aln,6659.tre,0.773024
6660.aln,6660.tre,0.588232
6661.aln,6661.tre,0.660942
6663.aln,6663.tre,1.196360
6664.aln,6664.tre,0.919904
6668.aln,6668.tre,1.032033
6675.aln,6675.tre,0.698163
6677.aln,6677.tre,1.184033
6680.aln,6680.tre,0.379870
6681.aln,6681.tre,0.206903
6682.aln,6682.tre,0.436934
6684.aln,6684.tre,0.865270
6685.aln,6685.tre,0.562238
6687.aln,6687.tre,1.047756
6689.aln,6689.tre,0.650619
6690.aln,6690.tre,0.772117
6691.aln,6691.tre,0.850031
6692.aln,6692.tre,0.401118
6694.aln,6694.tre,0.892372
6695.aln,6695.tre,1.509515
6697.aln,6697.tre,0.872771
6700.aln,6700.tre,0.556174
6701.aln,6701.tre,0.473016
6703.aln,6703.tre,0.626230
6706.aln,6706.tre,0.837360
6708.aln,6708.tre,0.794949
6713.aln,6713.tre,0.260067
6715.aln,6715.tre,0.801537
6725.aln,6725.tre,0.429750
6728.aln,6728.tre,0.502123
6729.aln,6729.tre,1.031695
6731.aln,6731.tre,0.489189
6732.aln,6732.tre,0.690365
6737.aln,6737.tre,0.276752
6740.aln,6740.tre,0.628097
6743.aln,6743.tre,0.691628
6749.aln,6749.tre,0.702104
6750.aln,6750.tre,0.736606
6751.aln,6751.tre,0.464317
6753.aln,6753.tre,0.338981
6757.aln,6757.tre,1.133865
6770.aln,6770.tre,0.160818
6775.aln,6775.tre,0.294789
6779.aln,6779.tre,0.215854
6785.aln,6785.tre,0.966599
6786.aln,6786.tre,0.863599
6787.aln,6787.tre,0.261328
6788.aln,6788.tre,0.235607
6789.aln,6789.tre,0.170579
6790.aln,6790.tre,1.116490
6792.aln,6792.tre,0.317219
6795.aln,6795.tre,0.679139
6800.aln,6800.tre,0.594133
6804.aln,6804.tre,0.338970
6805.aln,6805.tre,0.544472
6806.aln,6806.tre,0.655325
6807.aln,6807.tre,0.965305
6808.aln,6808.tre,0.421098
6810.aln,6810.tre,1.865321
6813.aln,6813.tre,1.651466
6818.aln,6818.tre,0.643600
6820.aln,6820.tre,0.471588
6822.aln,6822.tre,1.000594
6827.aln,6827.tre,0.312457
6831.aln,6831.tre,0.167897
6832.aln,6832.tre,0.085243
6836.aln,6836.tre,1.453414
6838.aln,6838.tre,0.456826
6839.aln,6839.tre,0.851428
6842.aln,6842.tre,1.030189
6844.aln,6844.tre,1.301940
6849.aln,6849.tre,0.645753
6852.aln,6852.tre,0.520688
6854.aln,6854.tre,0.488117
6857.aln,6857.tre,0.706688
6863.aln,6863.tre,0.616372
6866.aln,6866.tre,0.644271
6868.aln,6868.tre,0.718026
6870.aln,6870.tre,0.909399
6872.aln,6872.tre,0.832555
6874.aln,6874.tre,0.658545
6875.aln,6875.tre,0.541614
6877.aln,6877.tre,0.825230
6878.aln,6878.tre,0.414582
6887.aln,6887.tre,0.345355
6890.aln,6890.tre,0.612062
6891.aln,6891.tre,0.418463
6892.aln,6892.tre,0.799603
6893.aln,6893.tre,0.527470
6894.aln,6894.tre,1.011077
6898.aln,6898.tre,0.132699
6900.aln,6900.tre,1.700970
6907.aln,6907.tre,0.640611
6908.aln,6908.tre,0.206234
6909.aln,6909.tre,0.370750
6916.aln,6916.tre,1.058326
6919.aln,6919.tre,1.061470
6920.aln,6920.tre,0.157236
6923.aln,6923.tre,0.769991
6924.aln,6924.tre,0.841333
6928.aln,6928.tre,1.295914
6929.aln,6929.tre,1.035108
6930.aln,6930.tre,0.548631
6935.aln,6935.tre,0.335276
6938.aln,6938.tre,0.074913
6939.aln,6939.tre,0.524777
6943.aln,6943.tre,0.620522
6945.aln,6945.tre,0.702809
6946.aln,6946.tre,1.060761
6947.aln,6947.tre,0.681100
6948.aln,6948.tre,0.599832
6950.aln,6950.tre,0.128911
6953.aln,6953.tre,1.028766
6955.aln,6955.tre,0.907821
6957.aln,6957.tre,1.073174
6959.aln,6959.tre,0.935000
6960.aln,6960.tre,0.576902
6962.aln,6962.tre,0.378506
6966.aln,6966.tre,0.488151
6967.aln,6967.tre,0.830618
6972.aln,6972.tre,0.822019
6973.aln,6973.tre,0.783793
6976.aln,6976.tre,0.672581
6978.aln,6978.tre,0.416495
6980.aln,6980.tre,0.584056
6981.aln,6981.tre,0.126759
6982.aln,6982.tre,0.867513
6984.aln,6984.tre,0.661037
6985.aln,6985.tre,0.720196
6986.aln,6986.tre,0.829919
6988.aln,6988.tre,0.523746
6993.aln,6993.tre,0.588041
6994.aln,6994.tre,0.486941
6999.aln,6999.tre,0.637166
7001.aln,7001.tre,0.536367
7002.aln,7002.tre,0.737366
7004.aln,7004.tre,0.120561
7005.aln,7005.tre,0.386390
7006.aln,7006.tre,0.291703
7007.aln,7007.tre,0.587916
7008.aln,7008.tre,0.726675
7009.aln,7009.tre,0.560192
7011.aln,7011.tre,0.714700
7015.aln,7015.tre,0.189969
7017.aln,7017.tre,0.611209
7019.aln,7019.tre,0.432431
7020.aln,7020.tre,0.848420
7021.aln,7021.tre,0.420578
7022.aln,7022.tre,1.105077
7024.aln,7024.tre,0.688298
7025.aln,7025.tre,0.984349
7026.aln,7026.tre,0.512989
7027.aln,7027.tre,0.596163
7029.aln,7029.tre,0.483128
7031.aln,7031.tre,0.381639
7032.aln,7032.tre,0.540950
7034.aln,7034.tre,0.643491
7035.aln,7035.tre,0.378491
7036.aln,7036.tre,1.043715
7037.aln,7037.tre,0.525424
7039.aln,7039.tre,0.732748
7041.aln,7041.tre,1.044232
7042.aln,7042.tre,0.537437
7043.aln,7043.tre,0.908187
7045.aln,7045.tre,0.368388
7046.aln,7046.tre,1.089609
7047.aln,7047.tre,1.146361
7056.aln,7056.tre,0.197704
7068.aln,7068.tre,0.656035
7070.aln,7070.tre,0.305560
