instance,tree_file,inference_time_seconds
G_l_512_n_20_0_0.02_79.phy,G_l_512_n_20_0_0.02_79.tre,0.157530
G_l_512_n_20_0_0.02_8.phy,G_l_512_n_20_0_0.02_8.tre,0.157559
G_l_512_n_20_0_0.02_80.phy,G_l_512_n_20_0_0.02_80.tre,0.157789
G_l_512_n_20_0_0.02_82.phy,G_l_512_n_20_0_0.02_82.tre,0.157895
G_l_512_n_20_0_0.02_94.phy,G_l_512_n_20_0_0.02_94.tre,0.160838
G_l_512_n_20_0_0.02_95.phy,G_l_512_n_20_0_0.02_95.tre,0.158060
G_l_512_n_20_0_0.02_99.phy,G_l_512_n_20_0_0.02_99.tre,0.158240
G_l_512_n_20_0_0.03_0.phy,G_l_512_n_20_0_0.03_0.tre,0.157509
G_l_512_n_20_0_0.03_106.phy,G_l_512_n_20_0_0.03_106.tre,0.158657
G_l_512_n_20_0_0.03_116.phy,G_l_512_n_20_0_0.03_116.tre,0.156546
G_l_512_n_20_0_0.03_117.phy,G_l_512_n_20_0_0.03_117.tre,0.157314
G_l_512_n_20_0_0.03_118.phy,G_l_512_n_20_0_0.03_118.tre,0.164920
G_l_512_n_20_0_0.03_21.phy,G_l_512_n_20_0_0.03_21.tre,0.164243
G_l_512_n_20_0_0.03_33.phy,G_l_512_n_20_0_0.03_33.tre,0.157009
G_l_512_n_20_0_0.03_34.phy,G_l_512_n_20_0_0.03_34.tre,0.156836
G_l_512_n_20_0_0.03_42.phy,G_l_512_n_20_0_0.03_42.tre,0.157024
G_l_512_n_20_0_0.03_53.phy,G_l_512_n_20_0_0.03_53.tre,0.156997
G_l_512_n_20_0_0.03_56.phy,G_l_512_n_20_0_0.03_56.tre,0.158385
G_l_512_n_20_0_0.03_63.phy,G_l_512_n_20_0_0.03_63.tre,0.157770
G_l_512_n_20_0_0.03_72.phy,G_l_512_n_20_0_0.03_72.tre,0.157229
G_l_512_n_20_0_0.03_73.phy,G_l_512_n_20_0_0.03_73.tre,0.157813
G_l_512_n_20_0_0.03_75.phy,G_l_512_n_20_0_0.03_75.tre,0.160217
G_l_512_n_20_0_0.03_81.phy,G_l_512_n_20_0_0.03_81.tre,0.157208
G_l_512_n_20_0_0.03_83.phy,G_l_512_n_20_0_0.03_83.tre,0.158332
G_l_512_n_20_0_0.03_90.phy,G_l_512_n_20_0_0.03_90.tre,0.158607
G_l_512_n_20_0_0.03_97.phy,G_l_512_n_20_0_0.03_97.tre,0.157859
G_l_512_n_20_0_0.04_10.phy,G_l_512_n_20_0_0.04_10.tre,0.157821
G_l_512_n_20_0_0.04_100.phy,G_l_512_n_20_0_0.04_100.tre,0.157800
G_l_512_n_20_0_0.04_101.phy,G_l_512_n_20_0_0.04_101.tre,0.157266
G_l_512_n_20_0_0.04_103.phy,G_l_512_n_20_0_0.04_103.tre,0.157090
G_l_512_n_20_0_0.04_108.phy,G_l_512_n_20_0_0.04_108.tre,0.157015
G_l_512_n_20_0_0.04_11.phy,G_l_512_n_20_0_0.04_11.tre,0.159075
G_l_512_n_20_0_0.04_113.phy,G_l_512_n_20_0_0.04_113.tre,0.157796
G_l_512_n_20_0_0.04_122.phy,G_l_512_n_20_0_0.04_122.tre,0.156899
G_l_512_n_20_0_0.04_126.phy,G_l_512_n_20_0_0.04_126.tre,0.157004
G_l_512_n_20_0_0.04_127.phy,G_l_512_n_20_0_0.04_127.tre,0.157794
G_l_512_n_20_0_0.04_16.phy,G_l_512_n_20_0_0.04_16.tre,0.157117
G_l_512_n_20_0_0.04_17.phy,G_l_512_n_20_0_0.04_17.tre,0.157181
G_l_512_n_20_0_0.04_18.phy,G_l_512_n_20_0_0.04_18.tre,0.157570
G_l_512_n_20_0_0.04_23.phy,G_l_512_n_20_0_0.04_23.tre,0.157359
G_l_512_n_20_0_0.04_24.phy,G_l_512_n_20_0_0.04_24.tre,0.160103
