dataset	gene	tree_file	rf	nrf
SongD1	gene238	gene238.treefile	14.0	0.20588235294117646
SongD1	gene239	gene239.treefile	22.0	0.3235294117647059
SongD1	gene24	gene24.treefile	32.0	0.47058823529411764
SongD1	gene240	gene240.treefile	28.0	0.4117647058823529
SongD1	gene241	gene241.treefile	14.0	0.20588235294117646
SongD1	gene242	gene242.treefile	14.0	0.20588235294117646
SongD1	gene243	gene243.treefile	16.0	0.23529411764705882
SongD1	gene244	gene244.treefile	20.0	0.29411764705882354
SongD1	gene245	gene245.treefile	20.0	0.29411764705882354
SongD1	gene246	gene246.treefile	14.0	0.20588235294117646
SongD1	gene247	gene247.treefile	12.0	0.17647058823529413
SongD1	gene248	gene248.treefile	14.0	0.20588235294117646
SongD1	gene249	gene249.treefile	16.0	0.23529411764705882
SongD1	gene25	gene25.treefile	16.0	0.23529411764705882
SongD1	gene250	gene250.treefile	16.0	0.23529411764705882
SongD1	gene251	gene251.treefile	16.0	0.23529411764705882
SongD1	gene252	gene252.treefile	20.0	0.29411764705882354
SongD1	gene253	gene253.treefile	14.0	0.20588235294117646
SongD1	gene254	gene254.treefile	14.0	0.20588235294117646
SongD1	gene255	gene255.treefile	14.0	0.20588235294117646
SongD1	gene256	gene256.treefile	18.0	0.2647058823529412
SongD1	gene258	gene258.treefile	24.0	0.35294117647058826
SongD1	gene259	gene259.treefile	34.0	0.5
SongD1	gene26	gene26.treefile	42.0	0.6176470588235294
SongD1	gene260	gene260.treefile	12.0	0.17647058823529413
SongD1	gene261	gene261.treefile	18.0	0.2647058823529412
SongD1	gene262	gene262.treefile	10.0	0.14705882352941177
SongD1	gene263	gene263.treefile	36.0	0.5294117647058824
SongD1	gene264	gene264.treefile	8.0	0.11764705882352941
SongD1	gene265	gene265.treefile	10.0	0.14705882352941177
SongD1	gene266	gene266.treefile	24.0	0.35294117647058826
SongD1	gene267	gene267.treefile	14.0	0.20588235294117646
SongD1	gene269	gene269.treefile	40.0	0.5882352941176471
SongD1	gene27	gene27.treefile	20.0	0.29411764705882354
SongD1	gene270	gene270.treefile	14.0	0.20588235294117646
SongD1	gene271	gene271.treefile	10.0	0.14705882352941177
SongD1	gene272	gene272.treefile	32.0	0.47058823529411764
SongD1	gene273	gene273.treefile	16.0	0.23529411764705882
SongD1	gene274	gene274.treefile	14.0	0.20588235294117646
SongD1	gene275	gene275.treefile	26.0	0.38235294117647056
SongD1	gene276	gene276.treefile	26.0	0.38235294117647056
SongD1	gene277	gene277.treefile	36.0	0.5294117647058824
SongD1	gene278	gene278.treefile	14.0	0.20588235294117646
SongD1	gene279	gene279.treefile	12.0	0.17647058823529413
SongD1	gene28	gene28.treefile	12.0	0.17647058823529413
SongD1	gene280	gene280.treefile	24.0	0.35294117647058826
SongD1	gene281	gene281.treefile	28.0	0.4117647058823529
SongD1	gene282	gene282.treefile	24.0	0.35294117647058826
SongD1	gene283	gene283.treefile	8.0	0.11764705882352941
SongD1	gene284	gene284.treefile	14.0	0.20588235294117646
SongD1	gene285	gene285.treefile	20.0	0.29411764705882354
SongD1	gene286	gene286.treefile	14.0	0.20588235294117646
SongD1	gene287	gene287.treefile	24.0	0.35294117647058826
SongD1	gene288	gene288.treefile	6.0	0.08823529411764706
SongD1	gene289	gene289.treefile	22.0	0.3235294117647059
SongD1	gene29	gene29.treefile	12.0	0.17647058823529413
SongD1	gene290	gene290.treefile	8.0	0.11764705882352941
SongD1	gene291	gene291.treefile	12.0	0.17647058823529413
SongD1	gene292	gene292.treefile	34.0	0.5
SongD1	gene293	gene293.treefile	12.0	0.17647058823529413
SongD1	gene294	gene294.treefile	16.0	0.23529411764705882
SongD1	gene295	gene295.treefile	16.0	0.23529411764705882
SongD1	gene296	gene296.treefile	18.0	0.2647058823529412
SongD1	gene297	gene297.treefile	12.0	0.17647058823529413
SongD1	gene298	gene298.treefile	22.0	0.3235294117647059
SongD1	gene299	gene299.treefile	16.0	0.23529411764705882
SongD1	gene3	gene3.treefile	12.0	0.17647058823529413
SongD1	gene30	gene30.treefile	16.0	0.23529411764705882
SongD1	gene300	gene300.treefile	50.0	0.7352941176470589
SongD1	gene301	gene301.treefile	26.0	0.38235294117647056
SongD1	gene302	gene302.treefile	16.0	0.23529411764705882
SongD1	gene303	gene303.treefile	18.0	0.2647058823529412
SongD1	gene304	gene304.treefile	16.0	0.23529411764705882
SongD1	gene305	gene305.treefile	40.0	0.5882352941176471
SongD1	gene306	gene306.treefile	12.0	0.17647058823529413
SongD1	gene307	gene307.treefile	22.0	0.3235294117647059
SongD1	gene308	gene308.treefile	8.0	0.11764705882352941
SongD1	gene309	gene309.treefile	16.0	0.23529411764705882
SongD1	gene31	gene31.treefile	12.0	0.17647058823529413
SongD1	gene310	gene310.treefile	14.0	0.20588235294117646
SongD1	gene311	gene311.treefile	28.0	0.4117647058823529
SongD1	gene312	gene312.treefile	18.0	0.2647058823529412
SongD1	gene313	gene313.treefile	16.0	0.23529411764705882
SongD1	gene314	gene314.treefile	24.0	0.35294117647058826
SongD1	gene315	gene315.treefile	24.0	0.35294117647058826
SongD1	gene316	gene316.treefile	12.0	0.17647058823529413
SongD1	gene317	gene317.treefile	16.0	0.23529411764705882
SongD1	gene318	gene318.treefile	30.0	0.4411764705882353
SongD1	gene319	gene319.treefile	26.0	0.38235294117647056
SongD1	gene32	gene32.treefile	16.0	0.23529411764705882
SongD1	gene320	gene320.treefile	10.0	0.14705882352941177
SongD1	gene321	gene321.treefile	16.0	0.23529411764705882
SongD1	gene322	gene322.treefile	24.0	0.35294117647058826
SongD1	gene323	gene323.treefile	6.0	0.08823529411764706
SongD1	gene324	gene324.treefile	24.0	0.35294117647058826
SongD1	gene325	gene325.treefile	12.0	0.17647058823529413
SongD1	gene326	gene326.treefile	28.0	0.4117647058823529
