dataset	gene	tree_file	rf	nrf
WickD3b	5839	RAxML_bestTree.5839	86.0	0.6056338028169014
WickD3b	5843	RAxML_bestTree.5843	20.0	1.0
WickD3b	5847	RAxML_bestTree.5847	84.0	0.5833333333333334
WickD3b	5853	RAxML_bestTree.5853	34.0	0.3541666666666667
WickD3b	5858	RAxML_bestTree.5858	68.0	0.4594594594594595
WickD3b	5862	RAxML_bestTree.5862	56.0	0.4375
WickD3b	5863	RAxML_bestTree.5863	38.0	0.3584905660377358
WickD3b	5870	RAxML_bestTree.5870	58.0	0.6041666666666666
WickD3b	5875	RAxML_bestTree.5875	32.0	0.4444444444444444
WickD3b	5879	RAxML_bestTree.5879	40.0	0.47619047619047616
WickD3b	5881	RAxML_bestTree.5881	42.0	0.42857142857142855
WickD3b	5891	RAxML_bestTree.5891	40.0	0.5405405405405406
WickD3b	5894	RAxML_bestTree.5894	24.0	0.23529411764705882
WickD3b	5896	RAxML_bestTree.5896	24.0	0.3157894736842105
WickD3b	5903	RAxML_bestTree.5903	20.0	0.2564102564102564
WickD3b	5905	RAxML_bestTree.5905	66.0	0.4520547945205479
WickD3b	5911	RAxML_bestTree.5911	52.0	0.6341463414634146
WickD3b	5915	RAxML_bestTree.5915	76.0	0.5507246376811594
WickD3b	5918	RAxML_bestTree.5918	48.0	0.38095238095238093
WickD3b	5919	RAxML_bestTree.5919	48.0	0.5
WickD3b	5921	RAxML_bestTree.5921	60.0	0.5172413793103449
WickD3b	5925	RAxML_bestTree.5925	40.0	0.32786885245901637
WickD3b	5928	RAxML_bestTree.5928	60.0	0.410958904109589
WickD3b	5929	RAxML_bestTree.5929	58.0	0.46774193548387094
WickD3b	5934	RAxML_bestTree.5934	6.0	0.15789473684210525
WickD3b	5939	RAxML_bestTree.5939	24.0	0.2222222222222222
WickD3b	5944	RAxML_bestTree.5944	52.0	0.7222222222222222
WickD3b	5951	RAxML_bestTree.5951	4.0	0.6666666666666666
WickD3b	5954	RAxML_bestTree.5954	60.0	0.5882352941176471
WickD3b	5955	RAxML_bestTree.5955	58.0	0.7073170731707317
WickD3b	5957	RAxML_bestTree.5957	48.0	0.3582089552238806
WickD3b	5959	RAxML_bestTree.5959	78.0	0.5652173913043478
WickD3b	5964	RAxML_bestTree.5964	84.0	0.6461538461538462
WickD3b	5967	RAxML_bestTree.5967	20.0	0.19230769230769232
WickD3b	5979	RAxML_bestTree.5979	64.0	0.5161290322580645
WickD3b	5986	RAxML_bestTree.5986	18.0	0.45
WickD3b	5991	RAxML_bestTree.5991	22.0	0.6470588235294118
WickD3b	5993	RAxML_bestTree.5993	30.0	0.35714285714285715
WickD3b	6000	RAxML_bestTree.6000	84.0	0.5454545454545454
WickD3b	6001	RAxML_bestTree.6001	96.0	0.6233766233766234
WickD3b	6002	RAxML_bestTree.6002	64.0	0.6037735849056604
WickD3b	6010	RAxML_bestTree.6010	48.0	0.5714285714285714
WickD3b	6012	RAxML_bestTree.6012	70.0	0.6730769230769231
WickD3b	6016	RAxML_bestTree.6016	36.0	0.6428571428571429
WickD3b	6022	RAxML_bestTree.6022	30.0	0.28846153846153844
WickD3b	6025	RAxML_bestTree.6025	62.0	0.4189189189189189
WickD3b	6026	RAxML_bestTree.6026	24.0	0.2727272727272727
WickD3b	6031	RAxML_bestTree.6031	72.0	0.5714285714285714
WickD3b	6032	RAxML_bestTree.6032	10.0	0.4166666666666667
WickD3b	6033	RAxML_bestTree.6033	86.0	0.4777777777777778
WickD3b	6036	RAxML_bestTree.6036	4.0	0.18181818181818182
WickD3b	6039	RAxML_bestTree.6039	24.0	0.4
WickD3b	6040	RAxML_bestTree.6040	38.0	0.35185185185185186
WickD3b	6043	RAxML_bestTree.6043	64.0	0.5517241379310345
WickD3b	6045	RAxML_bestTree.6045	26.0	0.65
WickD3b	6051	RAxML_bestTree.6051	52.0	0.5
WickD3b	6053	RAxML_bestTree.6053	52.0	0.4126984126984127
WickD3b	6066	RAxML_bestTree.6066	38.0	0.30158730158730157
WickD3b	6069	RAxML_bestTree.6069	58.0	0.5
WickD3b	6075	RAxML_bestTree.6075	98.0	0.7424242424242424
WickD3b	6076	RAxML_bestTree.6076	26.0	0.38235294117647056
WickD3b	6077	RAxML_bestTree.6077	66.0	0.5076923076923077
WickD3b	6086	RAxML_bestTree.6086	28.0	0.6666666666666666
WickD3b	6092	RAxML_bestTree.6092	2.0	0.1
WickD3b	6094	RAxML_bestTree.6094	40.0	0.4444444444444444
WickD3b	6107	RAxML_bestTree.6107	38.0	0.38
WickD3b	6120	RAxML_bestTree.6120	92.0	0.6571428571428571
WickD3b	6121	RAxML_bestTree.6121	64.0	0.6153846153846154
