dataset	gene	tree_file	rf	nrf
WickD3b	6150	6150.treefile	26.0	0.21311475409836064
WickD3b	6154	6154.treefile	36.0	0.3
WickD3b	6155	6155.treefile	26.0	0.26
WickD3b	6159	6159.treefile	22.0	0.5
WickD3b	6162	6162.treefile	38.0	0.6551724137931034
WickD3b	6170	6170.treefile	16.0	0.4
WickD3b	6171	6171.treefile	28.0	0.3783783783783784
WickD3b	6175	6175.treefile	34.0	0.4722222222222222
WickD3b	6176	6176.treefile	6.0	0.3333333333333333
WickD3b	6178	6178.treefile	64.0	0.7441860465116279
WickD3b	6179	6179.treefile	50.0	0.44642857142857145
WickD3b	6180	6180.treefile	12.0	0.6
WickD3b	6189	6189.treefile	70.0	0.42168674698795183
WickD3b	6191	6191.treefile	74.0	0.5873015873015873
WickD3b	6193	6193.treefile	54.0	0.48214285714285715
WickD3b	6194	6194.treefile	20.0	0.3333333333333333
WickD3b	6195	6195.treefile	50.0	0.625
WickD3b	6201	6201.treefile	0.0	0.0
WickD3b	6202	6202.treefile	88.0	0.5641025641025641
WickD3b	6207	6207.treefile	12.0	0.3333333333333333
WickD3b	6210	6210.treefile	26.0	0.22033898305084745
WickD3b	6214	6214.treefile	26.0	0.21666666666666667
WickD3b	6215	6215.treefile	32.0	0.36363636363636365
WickD3b	6224	6224.treefile	30.0	0.32608695652173914
WickD3b	6226	6226.treefile	74.0	0.5692307692307692
WickD3b	6230	6230.treefile	54.0	0.45
WickD3b	6233	6233.treefile	70.0	0.5932203389830508
WickD3b	6240	6240.treefile	46.0	0.3709677419354839
WickD3b	6246	6246.treefile	82.0	0.5394736842105263
WickD3b	6248	6248.treefile	50.0	0.5555555555555556
WickD3b	6249	6249.treefile	52.0	0.35135135135135137
WickD3b	6251	6251.treefile	64.0	0.5714285714285714
WickD3b	6253	6253.treefile	80.0	0.5970149253731343
WickD3b	6262	6262.treefile	4.0	0.2857142857142857
WickD3b	6271	6271.treefile	42.0	0.5121951219512195
WickD3b	6280	6280.treefile	56.0	0.45901639344262296
WickD3b	6284	6284.treefile	28.0	0.358974358974359
WickD3b	6290	6290.treefile	12.0	0.2857142857142857
WickD3b	6294	6294.treefile	18.0	0.3333333333333333
WickD3b	6296	6296.treefile	6.0	1.0
WickD3b	6299	6299.treefile	14.0	0.20588235294117646
WickD3b	6301	6301.treefile	10.0	0.2
WickD3b	6302	6302.treefile	6.0	0.16666666666666666
WickD3b	6308	6308.treefile	42.0	0.42
WickD3b	6312	6312.treefile	72.0	0.6101694915254238
WickD3b	6313	6313.treefile	50.0	0.390625
WickD3b	6314	6314.treefile	26.0	0.41935483870967744
WickD3b	6315	6315.treefile	10.0	0.16129032258064516
WickD3b	6318	6318.treefile	14.0	0.20588235294117646
WickD3b	6321	6321.treefile	20.0	0.3125
WickD3b	6322	6322.treefile	22.0	0.4782608695652174
WickD3b	6324	6324.treefile	32.0	0.36363636363636365
WickD3b	6331	6331.treefile	26.0	0.23214285714285715
WickD3b	6334	6334.treefile	52.0	0.43333333333333335
