instance,tree_file,inference_time_seconds
G_l_1024_n_20_0_0.04_90.phy,G_l_1024_n_20_0_0.04_90.tre,121.592865
G_l_1024_n_20_0_0.04_91.phy,G_l_1024_n_20_0_0.04_91.tre,117.224681
G_l_1024_n_20_0_0.04_95.phy,G_l_1024_n_20_0_0.04_95.tre,124.731016
G_l_1024_n_20_0_0.04_96.phy,G_l_1024_n_20_0_0.04_96.tre,121.086404
G_l_1024_n_20_0_0.04_99.phy,G_l_1024_n_20_0_0.04_99.tre,125.332725
G_l_1024_n_20_0_0_113.phy,G_l_1024_n_20_0_0_113.tre,125.722196
G_l_1024_n_20_0_0_118.phy,G_l_1024_n_20_0_0_118.tre,107.055082
G_l_1024_n_20_0_0_12.phy,G_l_1024_n_20_0_0_12.tre,106.535568
G_l_1024_n_20_0_0_121.phy,G_l_1024_n_20_0_0_121.tre,119.769001
G_l_1024_n_20_0_0_15.phy,G_l_1024_n_20_0_0_15.tre,124.879009
G_l_1024_n_20_0_0_18.phy,G_l_1024_n_20_0_0_18.tre,124.242004
G_l_1024_n_20_0_0_27.phy,G_l_1024_n_20_0_0_27.tre,120.145922
G_l_1024_n_20_0_0_31.phy,G_l_1024_n_20_0_0_31.tre,112.951694
G_l_1024_n_20_0_0_33.phy,G_l_1024_n_20_0_0_33.tre,107.128091
G_l_1024_n_20_0_0_41.phy,G_l_1024_n_20_0_0_41.tre,122.489606
G_l_1024_n_20_0_0_42.phy,G_l_1024_n_20_0_0_42.tre,116.914203
G_l_1024_n_20_0_0_5.phy,G_l_1024_n_20_0_0_5.tre,112.031366
G_l_1024_n_20_0_0_53.phy,G_l_1024_n_20_0_0_53.tre,121.775840
G_l_1024_n_20_0_0_55.phy,G_l_1024_n_20_0_0_55.tre,122.354909
G_l_1024_n_20_0_0_60.phy,G_l_1024_n_20_0_0_60.tre,122.285011
G_l_1024_n_20_0_0_66.phy,G_l_1024_n_20_0_0_66.tre,123.877457
G_l_1024_n_20_0_0_69.phy,G_l_1024_n_20_0_0_69.tre,119.703245
G_l_1024_n_20_0_0_8.phy,G_l_1024_n_20_0_0_8.tre,117.138091
G_l_1024_n_20_0_0_84.phy,G_l_1024_n_20_0_0_84.tre,119.858396
G_l_1024_n_20_0_0_92.phy,G_l_1024_n_20_0_0_92.tre,125.279443
G_l_1024_n_20_0_0_94.phy,G_l_1024_n_20_0_0_94.tre,119.777784
G_l_1024_n_20_0_0_97.phy,G_l_1024_n_20_0_0_97.tre,123.124297
G_l_1024_n_20_0_0_98.phy,G_l_1024_n_20_0_0_98.tre,120.684875
